( 165,  50) = 2471af50b581ec03fe1f96f6a2aab6ae
( 326,  50) = 8ff38e53fefb9ff77f00800000b50000
( 462,  50) = a27f02100f5385fdffff2780e0e5e060
(  32,  51) = 8dfc9280009c10808087930101800103
( 224,  51) = 6038cf7ec134ce3fffdfdfdfdfdfdfdf
( 360,  51) = 0cef0046afff15f70008000000200000
( 323,  53) = 0ec70800bfef0cc71d00000000000000
( 413,  53) = 0200e7a7c300eb0fffdedefedeffddde
(  31,  54) = 1ec70d7eb5ec4e4fb90000d898000098
( 234,  54) = 4800ffbfcb00ef3bfffaffffffdedede
( 200,  55) = e7b5538e308dd28720f7f7a3e6ffe462
( 328,  55) = 867b0663c7f78ff3fec70607061f0404
( 476,  55) = 0a7f82f9c7ff01ff5f5fd70614170717
(  13,  56) = 4000eb384100ef1eebdbdbfbefeafbfb
( 340,  56) = 1034a2bd433aa17fafefff6faf0f070f
( 360,  56) = 480f7ec7c5a7c5574048002908000000
( 383,  56) = 32289283b380000b34bff724be88bc08
( 414,  56) = 0220f67e4350fffbdeffffff9f9fffdf
( 484,  56) = 0035e3ffc33ee77fdfdfffdfdf1f9f9f
( 197,  58) = bb15fb6f40002e4fdf93dbf7e3bfb3b3
( 203,  58) = c797208904bf91b0d7e7de80fed6e6ff
( 228,  58) = fb388f3880208a38ffffffbfffffffff
( 230,  58) = b23087b0f7308a10fff7ff9efed6defe
( 322,  58) = 1df70c489cff1cff0000000000200000
( 393,  58) = f6bfc3fee59d445bf114002171416341
( 404,  58) = efdfddefc0ef4a6f71e0185151351100
( 172,  59) = b8100df8d108c00890e3ef1000c48280
( 424,  59) = 223cf2bf633a51be37ffff6f7f376fff
(1064,  59) = 8a3803ab872c001b9f9f070704000617
(  14,  60) = 0000e2596310ef98ffffffffff7bffff
(1068,  60) = 1e7f46a74377417f7f57471f17170717
(  28,  61) = 75cf14c0fccf10c12060000000800000
( 214,  61) = 5de8be81beba39e00000d83060e07eff
( 396,  61) = 49ef78bf085733a44b48f78dff0cef0c
( 487,  61) = 023832be4338373c1fbf3f7f3f1fbf3f
( 322,  62) = 5fcf08431cef0c830000000000400000
( 334,  62) = 4868cb789168c36fe9eff7fffbffffff
(1033,  62) = 0a7d00a1afff007fff1ff70e5f000e1f
( 207,  63) = 6182fd937c16ff32083929ff79f97bfb
( 236,  63) = 0230fb7a7372ffb280fffffeffffffff
( 358,  63) = fd83dc40be53ffa0e0000080ecfbf0e9
( 385,  63) = fe0e7fae7facea1fd10000e3fb84ee1a
( 200,  64) = e192f2acfa9bd3a054fffff7f7bff7b7
( 216,  64) = ad905d80bea500000000000014f4c270
( 223,  64) = 46c2da5fd5d0cfd3785850480058fed8
( 253,  64) = 9eff04f9f7ff13fd7f17050701170301
( 339,  64) = a198bcb4ae76f37800b9ffffbd0031b1
( 489,  64) = d87dc3bc812cc13cffdfdf8fefcfffcf
(  24,  65) = 018a800ac08c000f7d09fd0105010081
( 115,  65) = cc794fe0f5acc089ff9c408ac2df1000
( 371,  65) = fd82fd403ca83c00406060f0e0fff8e0
( 374,  65) = fd832c507c5bbca0a0a02020e0eef0e0
(  31,  66) = f7cfb08710c3204700ebf700a0c00000
( 218,  66) = 0efd02009fdec7c25f5e860210d20096
( 231,  66) = 0020f2a1c330b3301cdc9cffffdc1cdc
( 356,  66) = d9800080f8801080009afe1084829cbe
( 378,  66) = ffd708507cc87cc0000000a0a0f1a3e0
( 252,  67) = 3ff718d7beff10f70514000000000000
( 268,  67) = 12ff02b73ffe003e5fff470f5f000207
